EEID,Full Name,Job Title,Department,Business Unit,Gender,Age,Hire Date,Annual Salary,Country,City,Exit Date
E03547,Owen Han,Analyst,Accounting,Corporate,Male,28,5/12/2017,"$52,069 ",China,Chongqing,
E04742,Kinsley Vega,Vice President,Accounting,Corporate,Female,33,12/16/2020,"$2,58,426 ",Brazil,Rio de Janerio,
E01070,Leonardo Martin,Manager,Finance,Speciality Products,Male,51,2/16/1995,"$1,25,375 ",United States,Chicago,
E04359,Greyson Lam,Vice President,Accounting,Manufacturing,Male,25,2/8/2021,"$1,98,243 ",United States,Miami,
E03268,Emilia Rivera,Test Engineer,Engineering,Research & Development,Female,42,11/23/2017,"$96,023 ",United States,Miami,
E04035,Penelope Johnson,Sr. Analyst,Marketing,Research & Development,Female,34,6/25/2012,"$83,066 ",United States,Chicago,6/5/2013
E01221,Eva Figueroa,Analyst II,Sales,Research & Development,Female,48,5/14/2014,"$61,216 ",United States,Seattle,
E00276,Ezekiel Jordan,Sr. Manger,Accounting,Corporate,Male,33,2/10/2013,"$1,44,231 ",United States,Columbus,7/17/2020
E01687,Luke Mai,HRIS Analyst,Human Resources,Research & Development,Male,41,10/24/2007,"$51,630 ",China,Beijing,
E02844,Charles Diaz,Sr. Manger,Sales,Corporate,Male,55,11/16/2013,"$1,24,129 ",Brazil,Sao Paulo,
E01263,Adam Espinoza,Test Engineer,Engineering,Manufacturing,Male,36,4/9/2009,"$60,055 ",United States,Seattle,
E00119,Jack Maldonado,Director,Engineering,Research & Development,Male,31,8/26/2020,"$1,89,290 ",Brazil,Sao Paulo,9/25/2020
E03935,Cora Jiang,Vice President,IT,Corporate,Female,53,4/30/2008,"$1,82,202 ",United States,Austin,
E00742,Cooper Mitchell,Manager,Sales,Speciality Products,Male,43,1/31/2006,"$1,17,518 ",United States,Seattle,
E02810,Layla Torres,Sr. Manger,Finance,Manufacturing,Female,37,2/24/2013,"$1,57,474 ",Brazil,Rio de Janerio,
E01860,Jack Edwards,Manager,Marketing,Manufacturing,Male,38,4/6/2008,"$1,26,856 ",United States,Columbus,
E04890,Eleanor Chan,Sr. Manger,Accounting,Manufacturing,Female,49,4/2/2001,"$1,29,124 ",China,Shanghai,
E02285,Aria Xi,Director,Sales,Research & Development,Female,45,3/1/2002,"$1,65,181 ",United States,Seattle,
E00842,John Vega,Vice President,Finance,Corporate,Male,50,1/18/2004,"$2,47,939 ",Brazil,Rio de Janerio,
E01271,Luke Munoz,Director,Engineering,Speciality Products,Male,64,8/25/2017,"$1,69,509 ",Brazil,Manaus,
E01921,Sarah Daniels,Sr. Manger,Accounting,Manufacturing,Female,55,1/9/2011,"$1,38,521 ",United States,Miami,
E03664,Aria Castro,Engineering Manager,Engineering,Speciality Products,Female,45,3/14/2014,"$1,13,873 ",Brazil,Rio de Janerio,
E00813,Autumn Joseph,Enterprise Architect,IT,Corporate,Female,39,5/9/2018,"$73,317 ",United States,Miami,
E00870,Evelyn Liang,Service Desk Analyst,IT,Speciality Products,Female,40,6/26/2013,"$69,096 ",United States,Seattle,
E04167,Henry Alvarez,Sr. Business Partner,Human Resources,Manufacturing,Male,48,4/12/2005,"$87,158 ",Brazil,Manaus,
E00245,Benjamin Delgado,Test Engineer,Engineering,Corporate,Male,64,9/28/1992,"$70,778 ",United States,Austin,
E00976,Zoe Rodriguez,Director,Human Resources,Speciality Products,Female,65,5/23/2004,"$1,53,938 ",United States,Phoenix,
E04112,Axel Chu,Systems Analyst,IT,Research & Development,Male,43,5/4/2018,"$59,888 ",China,Beijing,
E01807,Cameron Evans,Test Engineer,Engineering,Corporate,Male,50,12/13/2018,"$63,098 ",United States,Columbus,
E04103,Isabella Soto,Vice President,Finance,Corporate,Female,27,12/15/2021,"$2,55,369 ",Brazil,Sao Paulo,
E01412,Eva Jenkins,Sr. Manger,Human Resources,Manufacturing,Female,55,11/10/2004,"$1,42,318 ",United States,Chicago,
E04386,Cameron Powell,Business Partner,Human Resources,Manufacturing,Male,41,8/20/2004,"$49,186 ",United States,Austin,6/17/2008
E01232,Samantha Foster,Vice President,Human Resources,Research & Development,Female,34,7/27/2019,"$2,20,937 ",United States,Austin,
E04572,Jade Li,Director,IT,Speciality Products,Female,47,10/26/2012,"$1,83,156 ",United States,Seattle,
E02747,Kinsley Acosta,Vice President,IT,Speciality Products,Female,32,7/22/2020,"$1,92,749 ",United States,Chicago,
E01064,Clara Kang,Sr. Manger,IT,Manufacturing,Female,39,3/25/2017,"$1,35,325 ",United States,Phoenix,
E00178,Harper Alexander,Sr. Analyst,Sales,Speciality Products,Female,26,10/14/2019,"$79,356 ",United States,Phoenix,
E01091,Carter Reed,Development Engineer,Engineering,Manufacturing,Male,40,7/7/2005,"$74,412 ",United States,Seattle,
E01525,Charlotte Ruiz,Computer Systems Manager,IT,Manufacturing,Female,32,10/2/2017,"$61,886 ",Brazil,Rio de Janerio,
E01309,Everleigh Jiang,Director,Accounting,Research & Development,Female,58,5/14/2003,"$1,73,071 ",United States,Columbus,
E02378,Audrey Smith,Field Engineer,Engineering,Research & Development,Female,58,10/27/1995,"$70,189 ",United States,Columbus,
E04127,Emery Acosta,Vice President,Sales,Research & Development,Female,42,9/11/2013,"$1,81,452 ",United States,Columbus,
E02072,Charles Robinson,HRIS Analyst,Human Resources,Speciality Products,Male,26,3/12/2021,"$70,369 ",United States,Seattle,
E02555,Landon Lopez,Sr. Analyst,Accounting,Manufacturing,Male,38,7/5/2008,"$78,056 ",Brazil,Sao Paulo,
E00187,Miles Mehta,Director,Finance,Research & Development,Male,64,5/2/1996,"$1,89,933 ",United States,Miami,
E04332,Ezra Simmons,Automation Engineer,Engineering,Speciality Products,Male,38,7/1/2010,"$78,237 ",United States,Phoenix,
E02062,Nora Santiago,Analyst,Accounting,Research & Development,Female,55,6/26/1996,"$48,687 ",Brazil,Rio de Janerio,
E00034,Caroline Herrera,Sr. Manger,Marketing,Manufacturing,Female,45,8/19/2004,"$1,21,065 ",Brazil,Rio de Janerio,
E00273,David Owens,Sr. Analyst,Sales,Corporate,Male,43,4/16/2004,"$94,246 ",United States,Austin,
E00691,Avery Yee,Systems Analyst,IT,Manufacturing,Female,34,5/22/2016,"$44,614 ",United States,Miami,
E01403,Xavier Park,Vice President,IT,Research & Development,Male,40,11/8/2020,"$2,34,469 ",China,Chengdu,
E03438,Asher Morales,Automation Engineer,Engineering,Research & Development,Male,52,7/10/2020,"$88,272 ",Brazil,Sao Paulo,
E04136,Mason Cao,Analyst II,Finance,Corporate,Male,52,9/14/2017,"$74,449 ",China,Beijing,
E02944,Joshua Fong,Vice President,Engineering,Speciality Products,Male,47,6/11/2012,"$2,22,941 ",China,Beijing,
E03300,Maria Chin,Analyst,Marketing,Manufacturing,Female,65,9/26/2013,"$50,341 ",China,Beijing,
E00078,Eva Garcia,HRIS Analyst,Human Resources,Corporate,Female,31,4/11/2021,"$72,235 ",Brazil,Manaus,
E00825,Anna Molina,Sr. Analyst,Accounting,Corporate,Female,41,6/12/2016,"$70,165 ",United States,Columbus,
E04972,Logan Bryant,Sr. Manger,Marketing,Speciality Products,Male,30,7/18/2020,"$1,48,485 ",United States,Miami,
E03941,Isla Han,Technical Architect,IT,Manufacturing,Female,58,6/18/2005,"$86,089 ",United States,Chicago,
E02148,Christopher Vega,Engineering Manager,Engineering,Research & Development,Male,54,10/27/2007,"$1,06,313 ",United States,Chicago,
E02252,Lillian Park,Analyst,Marketing,Research & Development,Female,40,2/24/2021,"$46,833 ",China,Chengdu,11/10/2021
E03096,Kennedy Zhang,Director,Finance,Research & Development,Female,63,10/27/2000,"$1,55,320 ",China,Chongqing,
E04800,Eli Han,Sr. Analyst,Accounting,Manufacturing,Male,40,1/15/2016,"$89,984 ",China,Chengdu,
E02838,Julia Pham,Engineering Manager,Engineering,Speciality Products,Female,65,3/16/2006,"$83,756 ",China,Shanghai,
E02980,Hailey Shin,Director,Human Resources,Corporate,Female,57,10/24/2016,"$1,76,324 ",China,Shanghai,
E04477,Connor Grant,Sr. Analyst,Accounting,Speciality Products,Male,27,10/13/2021,"$74,077 ",United States,Seattle,
E04348,Natalia Owens,Manager,Human Resources,Manufacturing,Female,31,1/18/2021,"$1,04,162 ",United States,Austin,
E01638,Maria He,IT Systems Architect,IT,Corporate,Female,45,8/28/2010,"$82,162 ",China,Beijing,10/3/2020
E03419,Jade Yi,Account Representative,Sales,Speciality Products,Female,47,7/10/2015,"$63,880 ",China,Chongqing,
E04222,Quinn Xiong,Test Engineer,Engineering,Research & Development,Female,55,9/8/2013,"$73,248 ",United States,Columbus,
E04126,Dominic Baker,Sr. Analyst,Accounting,Manufacturing,Male,51,10/9/2020,"$91,853 ",United States,Chicago,
E01896,Adam Nelson,Director,Finance,Speciality Products,Male,25,1/14/2020,"$1,68,014 ",United States,Chicago,7/27/2021
E03018,Autumn Reed,Development Engineer,Engineering,Corporate,Female,37,9/17/2017,"$70,770 ",United States,Miami,
E03325,Robert Edwards,HRIS Analyst,Human Resources,Corporate,Male,62,10/11/2004,"$50,825 ",United States,Seattle,
E04037,Roman Martinez,Sr. Manger,Finance,Research & Development,Male,31,9/19/2015,"$1,45,846 ",Brazil,Manaus,
E01902,Eleanor Li,Sr. Manger,Human Resources,Research & Development,Female,64,12/7/2003,"$1,25,807 ",United States,Chicago,
E01466,Connor Vang,Analyst,Sales,Speciality Products,Male,25,7/28/2021,"$46,845 ",United States,Miami,
E02038,Ellie Chung,Sr. Manger,Marketing,Corporate,Female,59,8/29/2008,"$1,57,969 ",China,Chongqing,
E03474,Violet Hall,Solutions Architect,IT,Corporate,Female,40,12/10/2010,"$97,807 ",United States,Chicago,
E02744,Dylan Padilla,HRIS Analyst,Human Resources,Manufacturing,Male,31,12/9/2015,"$73,854 ",United States,Seattle,
E00702,Nathan Pham,Sr. Manger,Accounting,Manufacturing,Male,45,12/12/2006,"$1,49,537 ",United States,Seattle,
E03081,Ayla Brown,Sr. Manger,Sales,Manufacturing,Female,49,4/15/2013,"$1,28,303 ",United States,Phoenix,
E01281,Isaac Mitchell,Network Architect,IT,Speciality Products,Male,46,6/10/2005,"$67,374 ",United States,Austin,
E04029,Jayden Jimenez,Manager,Human Resources,Corporate,Male,46,9/24/2011,"$1,02,167 ",Brazil,Rio de Janerio,
E01116,Jaxon Tran,Sr. Manger,Sales,Manufacturing,Male,45,9/7/2007,"$1,51,027 ",China,Shanghai,
E01753,Connor Fong,Manager,Accounting,Speciality Products,Male,40,2/16/2018,"$1,20,905 ",United States,Seattle,
E04072,Emery Mitchell,Vice President,Finance,Manufacturing,Female,48,6/2/2018,"$2,31,567 ",United States,Seattle,
E00672,Landon Luu,Vice President,IT,Research & Development,Male,31,7/12/2015,"$2,15,388 ",United States,Miami,
E04419,Sophia Ahmed,Sr. Manger,Sales,Speciality Products,Female,30,6/13/2015,"$1,27,972 ",United States,Seattle,
E00467,Sofia Dinh,Operations Engineer,Engineering,Corporate,Female,55,8/4/1995,"$80,701 ",United States,Chicago,4/14/2005
E00365,Jonathan Patel,Manager,Marketing,Corporate,Male,28,2/2/2020,"$1,15,417 ",China,Shanghai,
E00306,Piper Patterson,Quality Engineer,Engineering,Corporate,Female,45,6/19/2019,"$88,045 ",United States,Chicago,
E03292,Cora Evans,Computer Systems Manager,IT,Speciality Products,Female,45,3/26/2018,"$86,478 ",United States,Austin,
E04779,Cameron Young,Vice President,Engineering,Manufacturing,Male,63,1/18/2016,"$1,80,994 ",United States,Seattle,
E00501,Melody Ho,Analyst II,Finance,Research & Development,Female,55,12/2/2007,"$64,494 ",United States,Columbus,
E01132,Aiden Bryant,Account Representative,Sales,Manufacturing,Male,47,10/21/2002,"$70,122 ",United States,Columbus,
E00556,Grayson Walker,Director,Accounting,Manufacturing,Male,29,2/19/2017,"$1,81,854 ",United States,Seattle,4/24/2020
E00311,Scarlett Figueroa,Business Partner,Human Resources,Speciality Products,Female,34,10/21/2016,"$52,811 ",United States,Miami,
E04567,Madeline Hoang,Systems Analyst,IT,Research & Development,Female,28,10/25/2019,"$50,111 ",China,Chengdu,
E04378,Ezra Simmons,Network Administrator,IT,Manufacturing,Male,31,5/7/2016,"$71,192 ",United States,Austin,
E03251,Ruby Medina,Director,Sales,Manufacturing,Female,50,12/18/2018,"$1,55,351 ",United States,Seattle,
E03167,Luke Zheng,Director,Human Resources,Speciality Products,Male,39,11/28/2006,"$1,61,690 ",China,Beijing,
E03347,Rylee Dinh,Development Engineer,Engineering,Speciality Products,Female,35,2/10/2017,"$60,132 ",China,Chongqing,
E03908,Miles Evans,Network Architect,IT,Manufacturing,Male,54,10/24/1994,"$87,216 ",United States,Miami,
E01351,Leo Owens,Systems Analyst,IT,Corporate,Male,47,4/23/2020,"$50,069 ",United States,Seattle,
E02681,Caroline Owens,Director,IT,Speciality Products,Female,26,7/26/2021,"$1,51,108 ",United States,Phoenix,
E03807,Kennedy Do,Computer Systems Manager,IT,Manufacturing,Female,42,10/15/2005,"$67,398 ",United States,Phoenix,
E00422,Jade Acosta,Development Engineer,Engineering,Research & Development,Female,47,8/29/2015,"$68,488 ",United States,Seattle,
E00265,Mila Vasquez,Quality Engineer,Engineering,Manufacturing,Female,60,7/16/1998,"$92,932 ",United States,Columbus,
E04601,Allison Ayala,Analyst,Finance,Corporate,Female,36,6/30/2009,"$43,363 ",United States,Austin,
E04816,Jace Zhang,Service Desk Analyst,IT,Speciality Products,Male,31,2/14/2017,"$95,963 ",China,Chengdu,
E02147,Allison Medina,Manager,Finance,Speciality Products,Female,55,4/29/2010,"$1,11,038 ",Brazil,Sao Paulo,
E02914,Maria Wilson,Vice President,Engineering,Research & Development,Female,51,6/14/1996,"$2,00,246 ",United States,Columbus,
E03268,Everly Coleman,Vice President,IT,Corporate,Female,48,2/18/2015,"$1,94,871 ",United States,Columbus,
E03972,Jordan Gomez,Sr. Analyst,Accounting,Research & Development,Male,58,9/15/1994,"$98,769 ",Brazil,Rio de Janerio,10/3/2016
E02189,Isla Chavez,Account Representative,Sales,Research & Development,Female,29,5/19/2018,"$65,334 ",Brazil,Rio de Janerio,
E04290,Hannah Gomez,Technical Architect,IT,Manufacturing,Female,25,5/11/2021,"$83,934 ",United States,Miami,
E03630,Jacob Davis,Director,Accounting,Research & Development,Male,36,9/3/2016,"$1,50,399 ",United States,Chicago,
E00432,Eli Gupta,Director,Human Resources,Research & Development,Male,37,5/19/2012,"$1,60,280 ",China,Beijing,
E03045,Andrew Huynh,Business Partner,Human Resources,Speciality Products,Male,57,4/28/1997,"$54,051 ",United States,Miami,10/11/1998
E01924,Anna Gutierrez,Director,Engineering,Research & Development,Female,59,4/15/2003,"$1,50,699 ",Brazil,Sao Paulo,
E04877,Samuel Vega,Analyst II,Marketing,Speciality Products,Male,37,3/30/2013,"$69,570 ",United States,Miami,
E02770,Liliana Do,Service Desk Analyst,IT,Manufacturing,Female,30,3/29/2019,"$86,774 ",China,Chengdu,
E04590,Isaac Sanders,HRIS Analyst,Human Resources,Manufacturing,Male,49,3/29/2001,"$57,606 ",United States,Miami,
E01977,Raelynn Gupta,Sr. Manger,Finance,Corporate,Female,48,9/10/2001,"$1,25,730 ",China,Chongqing,
E01378,Genesis Xiong,System Administrator ,IT,Research & Development,Female,51,2/25/2012,"$64,170 ",United States,Columbus,
E04224,Lucas Ramos,Sr. Business Partner,Human Resources,Speciality Products,Male,56,1/21/1998,"$72,303 ",United States,Phoenix,
E03423,Santiago f Gonzalez,Manager,Sales,Research & Development,Male,36,7/26/2012,"$1,05,891 ",United States,Seattle,
E01584,Henry Zhu,Vice President,Marketing,Speciality Products,Male,38,8/25/2021,"$2,55,230 ",United States,Austin,
E00788,Emily Contreras,Analyst II,Sales,Manufacturing,Female,56,6/15/1992,"$59,591 ",Brazil,Sao Paulo,
E00207,Hailey Lai,Vice President,Human Resources,Manufacturing,Female,52,7/23/2012,"$1,87,048 ",China,Chengdu,
E00834,Vivian Guzman,Analyst II,Finance,Speciality Products,Female,53,2/9/2002,"$58,605 ",United States,Phoenix,
E04571,Hadley Contreras,Director,Engineering,Corporate,Female,60,1/4/2017,"$1,78,502 ",United States,Austin,
E02652,Nathan Sun,Manager,Accounting,Speciality Products,Male,63,7/29/2015,"$1,03,724 ",China,Shanghai,
E02693,Grace Campos,Director,Engineering,Research & Development,Female,37,3/21/2008,"$1,56,277 ",Brazil,Manaus,
E03359,Autumn Ortiz,Field Engineer,Engineering,Research & Development,Female,30,12/17/2017,"$87,744 ",Brazil,Sao Paulo,
E00399,Connor Walker,Analyst II,Finance,Manufacturing,Male,30,3/18/2019,"$54,714 ",United States,Columbus,
E02971,Mia Wu,Enterprise Architect,IT,Corporate,Female,45,8/25/2013,"$99,169 ",China,Beijing,
E03327,Julia Luong,Sr. Manger,Accounting,Research & Development,Female,55,6/20/2006,"$1,42,628 ",China,Chongqing,
E00900,Eleanor Delgado,Sr. Analyst,Marketing,Manufacturing,Female,33,4/27/2014,"$75,869 ",Brazil,Sao Paulo,
E00836,Addison Roberts,Network Architect,IT,Manufacturing,Female,65,5/14/2018,"$60,985 ",United States,Seattle,
E03854,Camila Li,Sr. Manger,IT,Research & Development,Female,60,7/24/2010,"$1,26,911 ",China,Shanghai,
E04729,Ezekiel Fong,Vice President,Sales,Research & Development,Male,56,2/25/2004,"$2,16,949 ",China,Shanghai,
E00360,Dylan Thao,Director,Engineering,Manufacturing,Male,53,10/22/2012,"$1,68,510 ",United States,Seattle,
E02284,Josephine Salazar,Field Engineer,Engineering,Speciality Products,Female,36,3/14/2016,"$85,870 ",Brazil,Sao Paulo,
E00181,Genesis Hu,Sr. Analyst,Marketing,Corporate,Female,46,1/15/2002,"$86,510 ",China,Beijing,1/2/2003
E04168,Mila Juarez,Manager,Sales,Speciality Products,Female,38,9/21/2017,"$1,19,647 ",Brazil,Sao Paulo,
E02861,Daniel Perry,Enterprise Architect,IT,Research & Development,Male,62,4/15/2001,"$80,921 ",United States,Columbus,
E01357,Paisley Hunter,Engineering Manager,Engineering,Research & Development,Female,61,1/15/2010,"$98,110 ",United States,Chicago,
E04387,Everleigh White,Network Architect,IT,Speciality Products,Female,59,10/20/2017,"$86,831 ",United States,Phoenix,
E03090,Penelope Choi,Technical Architect,IT,Speciality Products,Female,49,9/10/2010,"$72,826 ",China,Beijing,
E03591,Piper Sun,Director,Marketing,Manufacturing,Female,64,2/14/2011,"$1,71,217 ",United States,Seattle,
E03328,Lucy Johnson,Manager,IT,Research & Development,Female,57,4/27/2020,"$1,03,058 ",United States,Columbus,
E04937,Ian Ngo,Manager,Sales,Speciality Products,Male,52,8/7/2014,"$1,17,062 ",United States,Phoenix,
E00515,Joseph Vazquez,Sr. Manger,Accounting,Speciality Products,Male,40,1/23/2019,"$1,59,031 ",United States,Miami,
E01241,Hadley Guerrero,Sr. Manger,IT,Research & Development,Female,49,1/14/2004,"$1,25,086 ",Brazil,Sao Paulo,
E03255,Jose Brown,System Administrator ,IT,Speciality Products,Male,43,4/7/2016,"$67,976 ",United States,Seattle,
E01711,Benjamin Ford,Analyst II,Finance,Speciality Products,Male,31,4/22/2021,"$74,215 ",United States,Phoenix,
E00500,Henry Shah,Director,Accounting,Manufacturing,Male,55,6/11/2010,"$1,87,389 ",China,Chengdu,
E04972,Ivy Daniels,Sr. Manger,Human Resources,Speciality Products,Female,41,10/26/2008,"$1,31,841 ",United States,Columbus,
E02728,Thomas Chang,Sr. Analyst,Accounting,Research & Development,Male,34,7/26/2011,"$97,231 ",China,Beijing,
E04749,Caroline Phan,Sr. Manger,Finance,Corporate,Female,41,3/14/2004,"$1,55,004 ",United States,Austin,
E02023,Maverick Mehta,Systems Analyst,IT,Manufacturing,Male,40,7/30/2007,"$41,859 ",United States,Seattle,
E03166,Austin Edwards,IT Coordinator,IT,Manufacturing,Male,42,9/24/2006,"$52,733 ",United States,Chicago,
E02599,Daniel Huang,Vice President,Human Resources,Corporate,Male,31,9/3/2015,"$2,50,953 ",United States,Columbus,
E01014,Lucas Phan,Director,Marketing,Research & Development,Male,49,2/19/1999,"$1,91,807 ",China,Chongqing,
E04529,Gabriel Yu,Technical Architect,IT,Speciality Products,Male,42,6/23/2014,"$64,677 ",China,Chongqing,
E00085,Mason Watson,Sr. Manger,IT,Corporate,Male,46,9/14/2004,"$1,30,274 ",United States,Chicago,
E00632,Angel Chang,Network Architect,IT,Research & Development,Male,37,7/6/2017,"$96,331 ",China,Shanghai,
E02108,Madeline Coleman,Sr. Manger,Finance,Research & Development,Female,51,4/28/2006,"$1,50,758 ",United States,Chicago,8/16/2007
E03802,Thomas Vazquez,Director,Engineering,Corporate,Male,46,7/19/2014,"$1,73,629 ",Brazil,Sao Paulo,
E03685,Silas Hunter,Solutions Architect,IT,Corporate,Male,55,5/4/1998,"$62,174 ",United States,Chicago,
E01089,Nicholas Brooks,Analyst II,Accounting,Manufacturing,Male,43,10/20/2017,"$56,555 ",United States,Phoenix,
E03988,Dominic Thomas,Analyst II,Marketing,Manufacturing,Male,48,9/28/2005,"$74,655 ",United States,Austin,
E00401,Wesley Adams,System Administrator ,IT,Corporate,Male,48,8/11/2003,"$93,017 ",United States,Seattle,
E03429,Ian Wu,Sr. Analyst,Marketing,Manufacturing,Male,51,4/14/2012,"$82,300 ",China,Chengdu,
E02417,Alice Young,Automation Engineer,Engineering,Research & Development,Female,46,1/24/2008,"$91,621 ",United States,Chicago,
E00359,Logan Carrillo,Sr. Analyst,Marketing,Research & Development,Male,33,11/30/2014,"$91,280 ",United States,Miami,
E02044,Caroline Alexander,Business Partner,Human Resources,Manufacturing,Female,42,9/18/2020,"$47,071 ",United States,Columbus,
E01479,Serenity Bailey,IT Systems Architect,IT,Manufacturing,Female,55,11/21/2011,"$81,218 ",United States,Chicago,
E04962,Elena Tan,Vice President,Engineering,Manufacturing,Female,50,10/13/2008,"$1,81,801 ",China,Chongqing,12/11/2019
E02769,Eliza Adams,Account Representative,Sales,Manufacturing,Female,26,11/21/2021,"$63,137 ",United States,Chicago,
E03893,Alice Xiong,Vice President,Engineering,Manufacturing,Female,55,9/2/2018,"$2,21,465 ",China,Chengdu,
E00553,Isla Yoon,Quality Engineer,Engineering,Research & Development,Female,50,5/10/2013,"$79,388 ",United States,Austin,8/4/2019
E03540,Emma Perry,Solutions Architect,IT,Manufacturing,Female,28,1/22/2018,"$68,176 ",United States,Seattle,
E02769,Riley Marquez,Sr. Manger,Finance,Research & Development,Female,39,10/18/2019,"$1,22,829 ",United States,Chicago,
E03277,Caroline Hu,Sr. Manger,Marketing,Speciality Products,Female,31,8/18/2019,"$1,26,353 ",China,Shanghai,
E04194,Madison Kumar,Director,Accounting,Speciality Products,Female,55,10/17/2010,"$1,88,727 ",China,Chengdu,
E01807,Matthew Lim,Sr. Analyst,Sales,Research & Development,Male,52,2/18/1994,"$99,624 ",United States,Seattle,
E01762,Maya Ngo,Manager,Sales,Speciality Products,Female,55,10/20/2012,"$1,08,686 ",United States,Columbus,
E02632,Alice Soto,Analyst,Accounting,Corporate,Female,56,4/13/1995,"$50,857 ",Brazil,Manaus,
E04226,Andrew Moore,Operations Engineer,Engineering,Manufacturing,Male,47,1/2/2001,"$1,20,628 ",United States,Chicago,
E04101,Olivia Harris,Director,Sales,Speciality Products,Female,63,6/14/2020,"$1,81,216 ",United States,Columbus,
E01981,Genesis Banks,Analyst,Finance,Corporate,Female,63,3/16/2012,"$46,081 ",United States,Chicago,
E02534,Victoria Johnson,Sr. Manger,Accounting,Corporate,Female,55,5/28/2004,"$1,59,885 ",United States,Columbus,
E01238,Eloise Griffin,Director,Sales,Manufacturing,Female,55,10/29/1995,"$1,53,271 ",United States,Austin,
E01118,Roman Yang,Manager,Human Resources,Manufacturing,Male,42,12/12/2009,"$1,14,242 ",United States,Phoenix,
E04041,Clara Huynh,IT Coordinator,IT,Speciality Products,Female,39,11/18/2020,"$48,415 ",China,Shanghai,
E04308,Kai Flores,Development Engineer,Engineering,Manufacturing,Male,35,5/23/2017,"$65,566 ",United States,Seattle,
E01052,Jaxson Dinh,Sr. Manger,Marketing,Research & Development,Male,45,5/3/2001,"$1,47,752 ",China,Shanghai,12/26/2011
E04165,Sophie Vang,Sr. Manger,Marketing,Manufacturing,Female,25,9/14/2021,"$1,36,810 ",China,Chongqing,
E02295,Axel Jordan,Analyst,Sales,Corporate,Male,47,2/28/2013,"$54,635 ",United States,Chicago,
E04546,Jade Hunter,Cloud Infrastructure Architect,IT,Corporate,Female,42,2/5/2020,"$96,636 ",United States,Columbus,
E04217,Lydia Williams,System Administrator ,IT,Manufacturing,Female,35,10/29/2014,"$91,592 ",United States,Chicago,
E00650,Emery Chang,Business Partner,Human Resources,Research & Development,Female,45,8/17/2000,"$55,563 ",China,Chengdu,
E00344,Savannah He,Director,IT,Research & Development,Female,52,2/14/1996,"$1,59,724 ",China,Beijing,
E04645,Elias Ahmed,Vice President,Marketing,Corporate,Male,57,8/4/2017,"$1,83,190 ",United States,Chicago,
E03880,Samantha Woods,Analyst,Accounting,Speciality Products,Female,56,12/25/2019,"$54,829 ",United States,Phoenix,
E02730,Axel Soto,Quality Engineer,Engineering,Corporate,Male,46,4/22/2005,"$96,639 ",Brazil,Rio de Janerio,
E04517,Amelia Choi,Manager,Marketing,Speciality Products,Female,43,6/11/2006,"$1,17,278 ",United States,Miami,
E00965,Jacob Khan,Computer Systems Manager,IT,Speciality Products,Male,53,2/9/2008,"$84,193 ",China,Shanghai,
E04639,Luna Taylor,Network Administrator,IT,Manufacturing,Female,47,7/28/2018,"$87,806 ",United States,Seattle,
E00465,Dominic Parker,Test Engineer,Engineering,Research & Development,Male,62,10/4/2011,"$63,959 ",United States,Seattle,
E03058,Angel Xiong,Vice President,IT,Research & Development,Male,35,6/11/2015,"$2,34,723 ",China,Shanghai,
E02337,Emma Cao,Analyst,Accounting,Corporate,Female,27,8/24/2019,"$50,809 ",China,Chongqing,
E04927,Ezekiel Bryant,Sr. Analyst,Finance,Manufacturing,Male,55,7/19/2002,"$77,396 ",United States,Miami,
E03799,Natalie Hwang,Sr. Analyst,Finance,Speciality Products,Female,63,12/31/1999,"$89,523 ",United States,Phoenix,
E04538,Adeline Yang,Cloud Infrastructure Architect,IT,Corporate,Female,53,7/20/2011,"$86,173 ",China,Chongqing,
E02633,Allison Roberts,Vice President,Sales,Manufacturing,Female,54,8/19/2000,"$2,22,224 ",United States,Columbus,
E02965,Andrew Do,Sr. Manger,Finance,Research & Development,Male,43,4/17/2021,"$1,46,140 ",United States,Seattle,
E04345,Eliana Grant,Engineering Manager,Engineering,Speciality Products,Female,64,6/20/1994,"$1,09,456 ",United States,Chicago,
E02895,Mila Soto,Director,Finance,Research & Development,Female,65,10/7/2008,"$1,70,221 ",Brazil,Manaus,
E01132,Gabriella Johnson,Computer Systems Manager,IT,Research & Development,Female,42,3/1/2006,"$97,433 ",United States,Seattle,8/8/2015
E00758,Jonathan Khan,Account Representative,Sales,Manufacturing,Male,35,8/30/2013,"$59,646 ",China,Shanghai,
E03750,Elias Dang,Director,Engineering,Speciality Products,Male,64,8/29/1995,"$1,58,787 ",China,Chengdu,
E00144,Theodore Ngo,Controls Engineer,Engineering,Research & Development,Male,55,4/29/2018,"$83,378 ",China,Beijing,
E02943,Bella Lopez,Sr. Analyst,Marketing,Corporate,Female,32,11/12/2013,"$88,895 ",United States,Chicago,
E03901,Luca Truong,Director,Marketing,Corporate,Male,45,12/11/2004,"$1,68,846 ",China,Chongqing,
E03461,Nathan Lau,Business Partner,Human Resources,Research & Development,Male,35,2/22/2011,"$43,336 ",United States,Austin,7/12/2020
E03490,Henry Campos,Sr. Manger,Human Resources,Corporate,Male,38,9/27/2009,"$1,27,801 ",United States,Phoenix,
E04466,Connor Bell,Network Administrator,IT,Corporate,Male,54,4/1/2000,"$76,352 ",United States,Austin,
